SKILLNAME	DESCRIPTION	SHIPNAMES	INJURERATIO	DMGRATIO	BUFFTOCANDAM	BUFFTOTORPDAM	BUFFTOAIRDAM	BUFFTOFIREPOWER	BUFFTOTORPEDO	BUFFTOAIR	BUFFTOANTIAIR	DMGTOHMS	DMGTOUSS	DMGTOIJN	DMGTOKMS	DMGTOROC	DMGTOFFNF	DMGTOMNF	DMGTOSIREN	DMGTODD	DMGTOCL	DMGTOCA	DMGTOLC	DMGTOBC	DMGTOBB	DMGTOAB	DMGTOCVL	DMGTOCV	DMGTOSUB	HEBUFF	APBUFF	INITENHANCE	MANUALENHANCE	INJBYCAN	INJBYTORP	INJBYAIR	DMGBYCAN	DMGBYTORP	DMGBYAIR	COMBO	CRITCAN	CRITTORP	CRITAIR	SALVOBONUS
Sparkling Battle Star!	Increase own Anti-Air stat by 10% (25%). Every 20 seconds, 50% (100%) chance to release a powerful barrage.	San Diego (Retrofit)	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sparkling Star	Every 14 seconds, releases a star-shaped barrage (damage increases with skill level).	Li'l Sandy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spiritual Chasing	Every 15 seconds: changes Main Gun ammo type to purple Musical Note for 8 seconds.	Cleveland (Muse)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Super Aiming Adjustments	Increases Main Gun critical rate by 15% (30%), but increases its Spread Range by 1. Every 16 seconds after the start of the battle: 40% (70%) chance to fire a special barrage (damage is based on skill level).	Super Gamer Kizuna AI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Supporting Wings	Increases own Aviation by 5% (15%). All Fairey Albacore planes in use gain 5% (15%) additional efficiency. If equipped with Fairey Albacore plane, when launching an airstrike: 70% (100%) chance to launch additional Fairey Albacore planes that has 80% chance to inflict Flooding for 9 seconds upon hitting an enemy (damage is based on skill level and Aviation stat).	Formidable	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Suppression Fire	Whenever own torpedoes hit 5 times, increases own Firepower by 3.5% (8%). Can be stacked up to 3 times.	Mogami (Retrofit)	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Surpriiiiiiiise!	When resurfacing: launches torpedoes (damage increases with Level) that have a 70% chance to inflict Burn damage (based on Torpedo stat) upon hit.	Albacore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Swordfishes, Attack!	Increase own damage dealt to Battleships by 4% (10%). When launching an airstrike: deploys additional Swordfish planes that launch torpedoes (damage increases with skill level) which reduce the speed of enemies they hit by 40% for 6 seconds.	Centaur	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Swordfishes, Strike!	When launching an airstrike: reduces Speed of all enemies onscreen by 30% (60%) for 8 seconds and deploys additional Swordfish planes that launch torpedoes (damage increases with Level).	Ark Royal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symphony of Destruction	Upon taking damage OR when an enemy ship enters a certain range: fires a Level 1 (10) barrage with Secondary Guns that ignores the enemy's armor type (damage is based on skill level). Has a cooldown of 15 seconds.	Friedrich der Grosse	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Take the Initiative!	Durring battle, if the fleet contains more than 3 Sakura Empire Ships, triggers a Lv. 1 (Lv. 10) aerial barrage 12 seconds after the start of the battle.	Akagi-chan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tanzerin Trombe	Each hit with the main gun increases own torpedoes' critical strike chance by 0.6% (1.5%) (stacks up to 20 times, effect resets after torpedo lauch).	White Heart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Target Designator: Torpedo	When own torpedoes hit a target: 7% (17%) chance to increase Torpedo damage dealt to targeted enemy ship by 20% (40%) for 8 seconds (Effect does not overlap).	Tanikaze (Retrofit), Matchless	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0
Taste My Wrath!	During battle, increases own Firepower by 20 (80) every 8 seconds. When this effect is stacked 3 times, fires a special barrage then clears effect bonuses. If equipped with a CL gun: enhances special barrage.	Zeppy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ten Sisters	When taking damage, 4% (10%) chance to fire a special barrage; 5 seconds cool down after activation. The skill can be activated up to 6 times each battle.	Kuon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tenacious Knight of the Sea	While alive in fleet, reduces duration of burning effect on flagship and self by 3 seconds. When enemy plane is shot down, increases own Firepower and Anti-Air stat by 5% (15%) for 8 seconds (effect does not stack).	Birmingham	0	0	0	0	0	0.15	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Bull of Scapa Flow	When own torpedo hits an enemy ship: in the next 5 seconds, the next torpedo to hit that enemy will deal 20% (40%) more damage.	U-47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0
The Demon	When firing main gun, 5% chance to increase own Torpedo stat by 30% (60%) for 12 seconds.	Ayanami	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Light of an Oath	When present in battle, once per battle, if a ship falls below 20% health, trigger a torpedo barrage; if Bismarck is present, the barrage is enhanced.	U-556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Star of Fjord	Once per battle, when launching the first wave of torpedoes: launches a special barrage (damage is based on skill level).	Hardy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Summer Flower We Watch	Every 25 seconds, 40% (70%) to fire a special barrage.	Natsuiro Matsuri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thrill of the Hunt	Upon destroying an enemy vessel, increase own Firepower by 5% (15%) and Reload by 10% (30%) for 12 seconds. This effect can activate once every second and does not stack. The duration will reset upon activation.	Minneapolis	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thundering Mountains of Flames	If equipped with a high caliber Main Gun (280mm or more): increases damage dealt with Main Gun by up to 15% (25%) depending on the distance the shells travel. Also increases Burn damage dealt to enemies by 20% (50%).	Azuma	0	0.25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torpedo Launch	Every 35 (20) seconds, fires 3 torpedoes towards the front (damage depends on skill level).	Scharnhorst, Gneisenau	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torpedoes: Ready!	Every 35 (20) seconds, launches a torpedo barrage (damage increases with Skill Level).	Hiei-chan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turning The Tables!	Increases own damage dealt to CVs by 5% (20%). When resurfacing: launches a torpedo barrage with 100% critical hit chance (damage scales with skill level).	I-168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Twin Shadow Musou (Saraana)	When paired with Uruuru, every 55 seconds after battle starts: activates a special barrage. The skill can be activated for maximum 2 times each battle (damage based on skill level).	Saraana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Twin Shadow Musou (Uruuru)	When paired with Saraana, every 55 seconds after battle starts: activates a special barrage. The skill can be activated for maximum 2 times each battle (damage based on skill level).	Uruuru	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unleashed Tactics	Every 20s: 40.0% (70.0%) chance to fire a special barrage (DMG is based on the skill's level). While in an Exercise: improves the firing pattern of the barrage.	Suruga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unwavering Strength	When used as the flagship, 40% (70%) to trigger a barrage when firing main gun. Damage dealt by Ironblood carriers is increased by 10% (20%).	Bismarck	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Valorous Avengers	When launching an airstrike: launches an additional TBF Avenger squadron that inflicts flood damage on hit. Increases damage dealt to Battleships by 4% (10%).	Essex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Victorious Song	Increases own damage dealt to Battleships by 10% (20%) and decreases damage taken from plunging shots (shots that travel in an arc) by 10% (20%).	Victorious	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Victory Slash	115 seconds after the battle starts, releases a powerful barrage (damage depends on skill level). Can occur only once per battle.	Purple Heart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wahrheit	When firing main gun, the first salvo round is guaranteed to critical hit. When equipped with CL guns in the secondary slot, increase detection range and shooting range to 65 (90), but decrease damage done by secondary guns by 35%.	Bismarck	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wargod of Solomon	When firing main gun, 5% chance to increase own Firepower, Reload, and Evasion by 20% (40%) for 8 seconds.	Laffey	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Warrior Soul	Increases own Speed by 3 (8) and Firepower by 3% (15%).	Ning Hai (Retrofit), Ping Hai (Retrofit)	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wild Dualism	When launching an odd-numbered airstrike: launches extra torpedo bombers. When launching an even-numbered airstrike: launches extra dive bombers. Damage is based on skill level.	Ookami Mio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Witch's Prank	When launching an airstrike: 40% (70%) chance to launch additional planes (damage based on skill level and Aviation stat) that inflict flood and burn damage on hit.	Saratoga (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wolf Pack Formation - U-81	Increases own Evasion by 20% (40%). During battle, increases own Torpedo stat, Reload and Accuracy by 2.5% (7%) per Ironblood submarine in the same fleet.	U-81	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wolf Pack Tactics	During battle, increases own Torpedo stat and Reload by 1.5% (6.0%) per Ironblood submarine in the same fleet.	U-110	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(Fate Simulation) Agaisnt the Current+	Increases own Reload by 0.6 (1) for every 1% loss in her HP. Additionally, when HP is 20% or less, heals for 3% max HP every 2 seconds for 10 seconds. This effect only occurs once per battle. (replaces Against the Current)	Monarch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Absolute Evasion	During battle, if the fleet consists of 4 or more Eagle Union ships: all ships in the fleet have a 4.5% (12%) chance to reduce aircraft torpedo and bomb damage taken to 1.	Essex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Against the Current	Increases own Reload by 0.6 (1) for every 1% loss in her HP. Additionally, when HP is 20% or less, heals for 3% max HP every 2 seconds for 8 seconds. This effect only occurs once per battle.	Monarch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Air Cover	When launching an airstrike: decreases damage taken by the Escort Fleet by 5% (15%) for 8 seconds. Does not stack with the same skill.	Glorious	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anti-Air Mode	When firing Anti-Air Guns, 25% chance to increase own Anti-Air by 20% (40%), and decrease own Firepower by 40% (20%) for 3 seconds.	Atlanta, Cleveland, Columbia, Denver, Hammann (Retrofit), Isuzu, Juneau, Montpelier, Newcastle, Niizuki, St. Louis, Stanly	0	0	0	0	0	-0.2	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anti-Air Order	10.0% (30.0%) chance to activate when AA gun fires, increase frontline's AA stat by 10.0% (30.0%) for 10 seconds; For every 5 aircraft shot down within fleet's AA radius, increase own Firepower by 1% and reduce aviation damage taken by main fleet by 1%. This effect can be stacked up to 5 (10) times.	Swiftsure	0	0	0	0	0	0.1	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anti-Air Vigilance	Increase own Anti-Air by 5% (15%).	Bush, Kimberly	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anti-Destroyer Tactics	Increase own Accuracy by 5% (20%) against enemy destroyers and decrease torpedo damage taken from enemy destroyers by 5% (20%).	Ooshio, Asashio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP Protection	Reduces AP damage taken by self by 10% (20%).	Mikuma, Suzuya, Mogami	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquatic Vortex	Every 10 seconds, 20% (40%) chance to increase own Evasion by 30% (60%) for 8 seconds.	Maury	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Armoured Hanger	Decreases damage taken to self by 3.5% (8%). When launching an airstrike: decreases damage taken by other ships in the Main Fleet by 3.5% (8%) for 10 seconds.	Formidable	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Assam Link	Increases own Reload by 1.5% (5%) and reduces damage taken from shelling by self by 1.5% (5%) per Destroyer in the fleet.	Vert	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bache in The Sky	Reduces aviation damage taken to self by 10% (30%). When firing Anti-Air guns: 25% chance to increase own Anti-Air by 10% (30%) for 8 seconds.	Bache	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Baptismal Flames	When Health falls under 20%, heal 15% (25%) of max Health. Can only occur once per battle.	Cassin,Downes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Battle of Kula Gulf	Every 20 seconds, 40% (70%) chance to increase own Firepower, Torpedo, and Reload by 20% (40%) for 10 seconds. Once per battle, if an escort ship's Health falls below 20%, decrease the damage it takes by 5% (15%); If the ship is Helena, additionally heal 8% of Helena's max Health.	Nicholas (Retrofit)	0	0	0	0	0	0.4	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Battleship Escort	When alive in fleet, reduce damage taken by allied BBs/BCs by 5% (15%). Does not stack with the same skill.	Michishio, Jupiter, Echo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beneath the Deep Blue Sky	During battle, decrease damage received by all Hololive ships by 2.5% (7%). Every 20 seconds, decreases Speed of all enemies by 5% (10%), increases Accuracy stat of all friendly ships by 5% (10%), and increases Speed of all friendly Hololive ships by 5% (10%) for 8 seconds.	Tokino Sora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calibur's Carrier	If placed in leftmost position, reduces damage taken by self by 4.5% (12%). During battle, reduces shelling damage taken by Lena and Li'l Sandy by 3.5% (8%).	Clevelad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carrier Escort	While alive in fleet, reduces damage taken by allied CVs/CVLs by 5% (15%). Does not stack with the same skill.	Mikuma, Ardent, Shiranui (Retrofit), Yuugure, Agano	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chevalier's Bouclier	If Escort fleet consists of only Iris Libre (FFNF) and Vichya Dominion (MNF) ships, every 20 seconds: 50% chance to decrease damage taken by entire fleet by 10% (30%) for 8 seconds. Does not stack with the same skill.	Forbin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coercion Assistance Mode	Increase own Accuracy and Evasion by 10% (25%) through the use of advanced super A.I. tracking.	Super Gamer Kizuna AI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conflict Prohibition	Decreases damage Vanguard Fleet takes when colliding with an enemy ship by 15% (30%).	Arashio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crane's Protection	When launching an airstrike: all ships in the fleet deal 4% (10%) more damage and take 4% (10%) less damage for 12 seconds.	Shoukaku	0	0.1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crete's Black Cloud	Every 20 seconds, increase own Anti-Air by 20% (60%) and decreases damage taken by all ships in the fleet by 3.5% (8%) for 6 seconds.	Fiji	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisis Prevention!	Upon taking damage: 4.5% (12.0%) chance to fire a special torpedo barrage and avoid all enemy attacks for 3 seconds. Once the effect ends: increases own Evasion by 20% (40%) for 3 seconds.	Kizuna AI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Damage Control	Once per battle, when a ship falls under 20% Health: heals that ship for 10% (20%) of its max Health. If the target is Enterprise, the healing amount is increased by 50%.	Vestal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dancing Waves	While this ship is afloat: decreases the DMG your Vanguard takes from enemy SS torpedoes by 4.5% (12.0%). When your Submarine Fleet enters combat: heals 10.0% (20.0%) HP to each boat in your Submarine Fleet. Whenever your SSs or SSVs sink an enemy ship: increases Ryuuhou's DMG by 1.0% (3.5%). Can be stacked up to 6 times.	Ryuuhou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Demonblade	At the start of the battle: increases this ship's FP, AA, and ASW by 5.0% (15.0%). While this ship is afloat: decreases the DMG your SSs and SSVs take by 5.0% (15.0%).	Kinu	0	0	0	0	0	0.15	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Demon Dance	Every 20 seconds, 40% (70%) chance to increase own Evasion by 30% for 5 seconds and release a powerful barrage while launching fast torpedoes in a helical pattern.	Ayanami (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Draw Fire	Every 20 seconds: 10% (40%) chance to absorb 50% of damage taken by Escort Fleet for 8 seconds. Effect does not stack.	Myoukou, Nachi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dullahan	When Health falls under 30%, decrease damage received by 5% (10%). Then, for the next 16 seconds, decrease speed by 2, and recover 1% (4%) max Health every 3 seconds. Can only occur once per battle.	Minneapolis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Efficacious Planning	While alive in fleet, reduces Burn damage taken by the Main Fleet by 5% (15%) and increases their Evasion Rate by 4% (10%).	Amagi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emergency Manuevers	Every 20 seconds, 15% (30%) chance to evade all incoming attacks for 6 seconds.	Bulldog, Fortune, Le Mars (Retrofit), Grenville, Crescent, Glowworm, Hamakaze (Retrofit), Beagle, Forbin (Retrofit), Cygnet, Matsukaze (Retrofit)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Engine Boost	Increases own Speed by 3 (8). After battle begins: increases own Evasion by 15% (35%) for 40 seconds.	Saint Louis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Everything Is In Order	Decreases Burn duration by 3 seconds and decreases HE damage taken by 5% (15%).	Elegant Kizuna AI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Excitatory Poison	After battle starts, increases own Torpedo stat and Evasion by 5% (20%) for 30 seconds, then decreases the buff to 0% during the next 20 seconds.	Le Malin	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Final Counter	Once per battle, upon taking lethal damage: become invincible and evade all attacks for 5 (15) seconds; simultaneously, launch an additional airstrike.	Hiryuu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flank Defense	Reduce damage received by Main Fleet by 5% (15%). Does not stack with the same skill.	Fortune (Retrofit), Foxhound (Retrofit), Smalley	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Forward Armor	Upon taking damage: 15% chance to spawn a frontal shield for 5 (15) seconds that blocks up to 12 shots.	Norfolk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ghost of Java Coast	When firing main gun: 20% chance to increase own Evasion by 60% (100%) for 15 seconds.	Houston	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Girls' Support	When firing Anti-Air guns: 30% chance to increase own Anti-Air stat by 5% (25%) for 5 seconds. Once per battle, if sortied withLi'l SandyorClevelad, and their Health falls under 40%: increases own Firepower and Accuracy by 5% (25%) for 15 seconds.	Lena	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
